OID,GISJOIN,AREA,YEAR,AREA11,AREA12,AREA21,AREA22,AREA23,AREA24,AREA31,AREA41,AREA42,AREA43,AREA52,AREA71,AREA81,AREA82,AREA90,AREA95,PROP11,PROP12,PROP21,PROP22,PROP23,PROP24,PROP31,PROP41,PROP42,PROP43,PROP52,PROP71,PROP81,PROP82,PROP90,PROP95
-1,G2300310,2629593000.000000000000000,2011,60526800.000000000000000,,161567100.000000000000000,90635400.000000000000000,31956300.000000000000000,10737900.000000000000000,15766200.000000000000000,303245100.000000000000000,379475100.000000000000000,798676200.000000000000000,129105900.000000000000000,16459200.000000000000000,136092600.000000000000000,29898000.000000000000000,404240400.000000000000000,61210800.000000000000000,0.023017554427624,,0.061441865718383,0.034467463215790,0.012152565054744,0.004083483641765,0.005995680700397,0.115320165516108,0.144309442563925,0.303726165988425,0.049097293763712,0.006259219582650,0.051754244858425,0.011369820348624,0.153727363892435,0.023277670726991
-1,G2400010,1113539400.000000000000000,2011,12020400.000000000000000,,63639900.000000000000000,26682300.000000000000000,11236500.000000000000000,4046400.000000000000000,9205200.000000000000000,835488900.000000000000000,23158800.000000000000000,13566600.000000000000000,2574000.000000000000000,3195000.000000000000000,102624300.000000000000000,5768100.000000000000000,327600.000000000000000,5400.000000000000000,0.010794768465310,,0.057151008756403,0.023961702657311,0.010090796966861,0.003633818435163,0.008266613646540,0.750300258796411,0.020797467965660,0.012183313854903,0.002311548203862,0.002869229413885,0.092160457007628,0.005179969384110,0.000294197044128,0.000004849401826
-1,G2400030,1079777700.000000000000000,2011,14533200.000000000000000,,188923500.000000000000000,145792800.000000000000000,68432400.000000000000000,22562100.000000000000000,3096000.000000000000000,303582600.000000000000000,15651900.000000000000000,64124100.000000000000000,15227100.000000000000000,3699900.000000000000000,35279100.000000000000000,85299300.000000000000000,103004100.000000000000000,10569600.000000000000000,0.013459437067463,,0.174965180332952,0.135021125181600,0.063376378304534,0.020895134248466,0.002867256843700,0.281152870632539,0.014495483653719,0.059386390365350,0.014102069342606,0.003426538629201,0.032672558434945,0.078997093568426,0.095393801890889,0.009788681503609
-1,G2400050,1575147600.000000000000000,2011,21798000.000000000000000,,287833500.000000000000000,155260800.000000000000000,85000500.000000000000000,30367800.000000000000000,10174500.000000000000000,497988000.000000000000000,23637600.000000000000000,46578600.000000000000000,25107300.000000000000000,6018300.000000000000000,172437300.000000000000000,174964500.000000000000000,27743400.000000000000000,10237500.000000000000000,0.013838703115822,,0.182734303756677,0.098569048386323,0.053963514276376,0.019279336107930,0.006459394662443,0.316153229068819,0.015006593667793,0.029570943065907,0.015939649084314,0.003820784795025,0.109473740746581,0.111078161817978,0.017613206533788,0.006499390914223
-1,G2400090,560178900.000000000000000,2011,8248500.000000000000000,,71768700.000000000000000,18673200.000000000000000,5963400.000000000000000,1695600.000000000000000,682200.000000000000000,253443600.000000000000000,16722900.000000000000000,33684300.000000000000000,8752500.000000000000000,2337300.000000000000000,26478000.000000000000000,58166100.000000000000000,42580800.000000000000000,10981800.000000000000000,0.014724760250698,,0.128117463903050,0.033334350865411,0.010645527705524,0.003026890159554,0.001217825234046,0.452433320855177,0.029852784530085,0.060131325903207,0.015624472824664,0.004172417061764,0.047267042725101,0.103834864183567,0.076012859463289,0.019604094334863
-1,G2400110,840681900.000000000000000,2011,10816200.000000000000000,,44505000.000000000000000,11642400.000000000000000,3430800.000000000000000,1106100.000000000000000,1342800.000000000000000,80612100.000000000000000,14101200.000000000000000,23794200.000000000000000,13315500.000000000000000,2332800.000000000000000,111886200.000000000000000,377643600.000000000000000,134182800.000000000000000,9970200.000000000000000,0.012865984149296,,0.052939167597161,0.013848757776277,0.004080972838835,0.001315717633507,0.001597274783720,0.095888944439032,0.016773526348075,0.028303452233241,0.015838927898888,0.002774890240887,0.133089816730918,0.449211051171674,0.159611857945318,0.011859658213172
-1,G2400130,1172455200.000000000000000,2011,8398800.000000000000000,,125134200.000000000000000,33896700.000000000000000,11121300.000000000000000,2940300.000000000000000,1944900.000000000000000,289512900.000000000000000,11005200.000000000000000,10403100.000000000000000,16941600.000000000000000,2892600.000000000000000,234460800.000000000000000,405768600.000000000000000,17104500.000000000000000,929700.000000000000000,0.007163429357471,,0.106728342370779,0.028910870112564,0.009485479701058,0.002507814371074,0.001658826708261,0.246928752586879,0.009386456727728,0.008872918982320,0.014449677906670,0.002467130513814,0.199974207969737,0.346084524167746,0.014588617117311,0.000792951406587
-1,G2400150,921936600.000000000000000,2011,22491000.000000000000000,,107744400.000000000000000,28244700.000000000000000,11954700.000000000000000,3735900.000000000000000,6829200.000000000000000,283574700.000000000000000,6102900.000000000000000,13121100.000000000000000,26110800.000000000000000,5328000.000000000000000,150354900.000000000000000,207306000.000000000000000,37487700.000000000000000,11550600.000000000000000,0.024395386841134,,0.116867472231822,0.030636271518020,0.012966943713917,0.004052230923471,0.007407450794339,0.307585901243101,0.006619652587824,0.014232106632929,0.028321687196278,0.005779139259684,0.163085943219957,0.224859279911439,0.040661906686425,0.012528627239661
-1,G2400170,1193799600.000000000000000,2011,8911800.000000000000000,,117063000.000000000000000,41132700.000000000000000,14035500.000000000000000,4528800.000000000000000,4850100.000000000000000,488484000.000000000000000,69480000.000000000000000,44575200.000000000000000,34760700.000000000000000,6966900.000000000000000,39220200.000000000000000,151734600.000000000000000,147909600.000000000000000,20146500.000000000000000,0.007465072027164,,0.098059171740383,0.034455280434002,0.011756998410789,0.003793601539153,0.004062742188890,0.409184255045822,0.058200723136446,0.037338930252615,0.029117701161904,0.005835904116570,0.032853252756995,0.127102237259922,0.123898181905908,0.016875948023437
-1,G2400190,1485000900.000000000000000,2011,98271000.000000000000000,,55916100.000000000000000,21294000.000000000000000,5818500.000000000000000,2078100.000000000000000,1079100.000000000000000,22183200.000000000000000,63550800.000000000000000,20401200.000000000000000,37719900.000000000000000,4277700.000000000000000,94257000.000000000000000,349977600.000000000000000,383772600.000000000000000,324404100.000000000000000,0.066175717469262,,0.037653916573384,0.014339385248857,0.003918179443528,0.001399393091277,0.000726666226263,0.014938172764744,0.042795125578712,0.013738173492016,0.025400590666309,0.002880604314785,0.063472688804431,0.235675008681813,0.258432570646927,0.218453806997693
