OID,GISJOIN,State,cofips,AREA,YEAR,AREA11,AREA12,AREA21,AREA22,AREA23,AREA24,AREA31,AREA41,AREA42,AREA43,AREA52,AREA71,AREA81,AREA82,AREA90,AREA95,PROP11,PROP12,PROP21,PROP22,PROP23,PROP24,PROP31,PROP41,PROP42,PROP43,PROP52,PROP71,PROP81,PROP82,PROP90,PROP95
-1,G3101230,310,31123,3703307400,2011,26022600,,73659600,14114700,2037600,387000,1404000,4655700,12348000,168300,2685600,2719566000,19987200,734112900,25434900,66723300,0.007026854,,0.01989022,0.003811377,0.000550211,0.000104501,0.000379121,0.001257174,0.003334317,4.54E-05,0.00072519,0.734361398,0.005397122,0.198231694,0.006868158,0.018017219
-1,G3101250,310,31125,1160868600,2011,17352900,,39186000,9756900,578700,193500,2862000,44853300,2206800,30600,42300,421956000,15488100,534076200,58689000,13596300,0.014948203,,0.033755758,0.008404827,0.000498506,0.000166686,0.002465395,0.038637706,0.00190099,2.64E-05,3.64E-05,0.363482999,0.01334182,0.460066023,0.050556109,0.011712178
-1,G3101270,310,31127,1060929000,2011,18405000,,43729200,8489700,1150200,528300,,90202500,452700,109800,461700,116661600,75474000,652373100,32493600,20397600,0.017348003,,0.041217838,0.008002138,0.001084144,0.00049796,,0.085022183,0.000426702,0.000103494,0.000435185,0.109961741,0.071139539,0.614907407,0.030627497,0.019226169
-1,G3101290,310,31129,1491348600,2011,9099900,,55822500,9386100,1201500,414900,117000,39775500,,9000,63000,543937500,969300,820033200,8281800,2237400,0.006101793,,0.037430886,0.0062937,0.000805647,0.000278205,7.85E-05,0.026670827,,6.03E-06,4.22E-05,0.364728609,0.000649949,0.549860174,0.005553229,0.001500253
-1,G3101310,310,31131,1603071000,2011,22476600,,63415800,21758400,4189500,1226700,44100,90937800,494100,317700,935100,270414900,100097100,989973900,29374200,7415100,0.014020964,,0.039558947,0.013572948,0.002613421,0.000765219,2.75E-05,0.056727244,0.000308221,0.000198182,0.000583318,0.168685542,0.06244084,0.617548381,0.018323705,0.004625559
-1,G3101330,310,31133,1121364900,2011,12627900,,39482100,4638600,441000,135000,53100,122714100,1430100,1440000,1143000,493319700,109815300,324248400,9434700,441900,0.011261187,,0.035208967,0.004136566,0.000393271,0.000120389,4.74E-05,0.109432799,0.001275321,0.001284149,0.001019294,0.439927895,0.097930032,0.289155118,0.008413586,0.000394073
-1,G3101350,310,31135,2290664700,2011,526500,,63600300,2167200,525600,180900,529200,3692700,5400,,1800000,481878900,59955300,1675630800,36000,135900,0.000229846,,0.027764998,0.000946101,0.000229453,7.90E-05,0.000231025,0.001612065,2.36E-06,,0.000785798,0.210366406,0.026173756,0.731504179,1.57E-05,5.93E-05
-1,G3101370,310,31137,1399696200,2011,5574600,,46293300,11257200,2195100,753300,279000,338400,,,319500,164311200,15953400,1124640000,22393800,5387400,0.003982721,,0.03307382,0.008042602,0.001568269,0.000538188,0.000199329,0.000241767,,,0.000228264,0.117390617,0.011397759,0.803488643,0.015999043,0.003848978
-1,G3101390,310,31139,1488208500,2011,5952600,,58503600,9765900,998100,270900,176400,27693900,,,9000,347091300,2502000,1027474200,6412500,1358100,0.003999843,,0.039311427,0.006562185,0.000670672,0.000182031,0.000118532,0.018608884,,,6.05E-06,0.233227602,0.001681216,0.690410114,0.004308872,0.000912574
-1,G3101410,310,31141,1772990100,2011,27957600,,70526700,25684200,9240300,4212900,1251900,23317200,,,25200,232355700,2459700,1337823900,35807400,2327400,0.015768616,,0.039778395,0.014486375,0.005211704,0.002376155,0.000706095,0.013151342,,,1.42E-05,0.131053016,0.001387317,0.75455802,0.020196052,0.001312698
-1,G3101430,310,31143,1141249500,2011,6897600,,40157100,6687900,979200,328500,145800,19546200,40500,7200,26100,163300500,2597400,882803700,15912000,1819800,0.006043902,,0.03518696,0.005860156,0.000858007,0.000287842,0.000127755,0.017127017,3.55E-05,6.31E-06,2.29E-05,0.143089219,0.002275927,0.773541368,0.013942613,0.001594568
-1,G3101450,310,31145,1859615100,2011,4068000,,56200500,7813800,2263500,1045800,1142100,2856600,18900,24300,70200,864995400,102600,881975700,36251100,786600,0.002187549,,0.030221576,0.004201837,0.001217187,0.000562374,0.000614159,0.001536124,1.02E-05,1.31E-05,3.77E-05,0.465147546,5.52E-05,0.474278629,0.019493873,0.000422991
-1,G3101470,310,31147,1436322600,2011,24908400,,54981900,12262500,1381500,477000,34200,120603600,307800,73800,1237500,152899200,153619200,852515100,39749400,21271500,0.017341787,,0.038279632,0.008537427,0.000961831,0.000332098,2.38E-05,0.083966931,0.000214297,5.14E-05,0.000861575,0.106451851,0.106953132,0.593540128,0.027674424,0.014809695
-1,G3101490,310,31149,2620269900,2011,33919200,,39328200,2138400,432900,92700,1346400,19809000,15307200,423000,189900,2142052200,33592500,174308400,22634100,134695800,0.012944926,,0.015009217,0.000816099,0.000165212,3.54E-05,0.00051384,0.007559908,0.005841841,0.000161434,7.25E-05,0.817492961,0.012820244,0.066523071,0.00863808,0.051405315
-1,G3101510,310,31151,1492588800,2011,13930200,,58157100,12752100,1936800,895500,52200,68776200,10800,500400,68400,265608000,7457400,1052182800,9534600,726300,0.009332912,,0.038963913,0.008543612,0.001297611,0.000599964,3.50E-05,0.046078464,7.24E-06,0.000335256,4.58E-05,0.177951221,0.004996286,0.704938158,0.006387962,0.000486604
